date,high,low,open,close,volume,quoteVolume,weightedAverage
1641531600000,1.23328,1.21838,1.23328,1.21838,18.4332,22.4745,1.21924
1641533400000,1.21838,1.21000,1.21000,1.21838,1132.4984,1375.771,1.21481
1641535200000,1.21404,1.20603,1.21230,1.20709,1681.2194,2035.7006,1.21084
1641537000000,1.21337,1.20000,1.21088,1.20229,3149.4491,3793.6346,1.20453
1641538800000,1.20379,1.19525,1.20000,1.20379,830.8423,996.93,1.1999
1641540600000,1.21092,1.20390,1.20390,1.20858,2679.8576,3238.3501,1.2084
1641542400000,1.24047,1.21059,1.21059,1.24047,719.8635,875.2145,1.2158
1641544200000,1.22862,1.22401,1.22862,1.22401,1068.4131,1307.9787,1.22422
1641546000000,1.23658,1.23000,1.23000,1.23231,1613.9348,1992.0268,1.23426
1641547800000,1.23852,1.23371,1.23852,1.23400,887.0678,1095.2722,1.23471
1641549600000,1.23659,1.23153,1.23654,1.23153,1700.5245,2101.6382,1.23587
1641551400000,1.23153,1.23001,1.23153,1.23001,450.2857,553.9708,1.23026
1641553200000,1.23115,1.22529,1.22529,1.23115,704.3024,864.1475,1.22695
1641555000000,1.23628,1.23552,1.23628,1.23552,203.0598,250.8871,1.23553
1641556800000,1.24704,1.23241,1.23241,1.24555,2241.6447,2785.1408,1.24245
1641558600000,1.24330,1.23858,1.24330,1.23858,897.2161,1112.3352,1.23976
1641560400000,1.24250,1.23200,1.24250,1.23449,13193.8119,16276.9549,1.23368
1641562200000,1.24496,1.20201,1.23449,1.20700,29376.7747,35837.6396,1.21993
1641564000000,1.21600,1.21110,1.21216,1.21600,7712.6042,9372.9597,1.21527
1641565800000,1.21600,1.21110,1.21216,1.21600,0,0,1.21527
1641567600000,1.22303,1.21600,1.21600,1.22303,2745.9342,3357.9925,1.22289
1641569400000,1.22400,1.19500,1.22303,1.20500,12400.3498,15011.9495,1.2106
1641571200000,1.22000,1.19428,1.21800,1.22000,19843.6764,23871.6161,1.20298
1641573000000,1.23000,1.23000,1.23000,1.23000,1023.5137,1258.9219,1.23
1641574800000,1.23859,1.23000,1.23304,1.23000,537.9098,664.1972,1.23477
1641576600000,1.22600,1.22600,1.22600,1.22600,49.04,60.123,1.226
1641578400000,1.22734,1.22600,1.22600,1.22734,6050.1973,7417.5949,1.226
1641580200000,1.21976,1.21726,1.21726,1.21976,153.8519,187.6097,1.21941
1641582000000,1.22006,1.21967,1.21999,1.21967,2581.5367,3148.7092,1.2197
1641583800000,1.22970,1.22444,1.22970,1.22444,189.7322,232.9465,1.22776
1641585600000,1.22455,1.21999,1.22455,1.21999,54.8557,67.1157,1.22349
1641587400000,1.22415,1.22415,1.22415,1.22415,5.4557,6.6786,1.22415
1641589200000,1.23052,1.22569,1.22569,1.22675,187.8266,230.2322,1.22576
1641591000000,1.22693,1.22135,1.22693,1.22135,483.2601,591.853,1.2247
1641592800000,1.22440,1.21645,1.22440,1.21688,261.8356,319.2627,1.21932
1641594600000,1.20999,1.20999,1.20999,1.20999,560.59,678.3086,1.20999
1641596400000,1.20999,1.20999,1.20999,1.20999,1499.9999,1814.9856,1.20999
1641598200000,1.20675,1.20675,1.20675,1.20675,1496.7056,1806.1593,1.20675
1641600000000,1.21560,1.21560,1.21560,1.21560,1.5,1.8234,1.2156
1641601800000,1.22589,1.21500,1.21500,1.22411,1290.6552,1568.2782,1.2151
1641603600000,1.23688,1.22544,1.22544,1.23284,14046.4272,17332.7994,1.23396
1641605400000,1.22774,1.22275,1.22774,1.22275,21.8218,26.7839,1.22739
1641607200000,1.22140,1.21931,1.22140,1.21931,3.0236,3.6899,1.22036
1641609000000,1.22140,1.21931,1.22140,1.21931,0,0,1.22036
1641610800000,1.21943,1.21943,1.21943,1.21943,20.3731,24.8436,1.21943
