date,high,low,open,close,volume,quoteVolume,weightedAverage
1669257000000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669258800000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669260600000,2.1779,2.1779,2.1779,2.1779,0,0,2.1779
1669262400000,1.9868,1.7358,1.7375,1.7376,309.6649,539.3151,1.742
1669264200000,1.7378,1.7333,1.7373,1.7354,725.7546,1259.6156,1.7355
1669266000000,1.7579,1.7352,1.7356,1.7353,360.6036,625.8586,1.7355
1669267800000,1.7358,1.7346,1.7355,1.7348,736.5422,1278.1277,1.7353
1669269600000,1.7348,1.7346,1.7346,1.7346,748.0287,1297.5928,1.7346
1669271400000,1.7351,1.7346,1.7346,1.7349,677.0761,1174.5704,1.7347
1669273200000,1.7350,1.6897,1.7349,1.7349,391.1719,678.1991,1.7337
1669275000000,1.7419,1.6890,1.7349,1.7383,971.652,1686.3953,1.7356
1669276800000,1.7385,1.7362,1.7385,1.7369,483.556,839.9635,1.737
1669278600000,1.7440,1.7368,1.7368,1.7432,846.2824,1474.9844,1.7429
1669280400000,1.7432,1.7404,1.7431,1.7427,546.0922,951.7565,1.7428
1669282200000,1.7432,1.7268,1.7425,1.7271,559.6506,971.9174,1.7366
1669284000000,1.7376,1.7000,1.7273,1.7349,548.0911,950.9231,1.7349
1669285800000,1.7610,1.7301,1.7349,1.7608,763.1804,1324.451,1.7354
1669287600000,1.7610,1.6572,1.7610,1.6933,503.8116,861.7285,1.7105
1669289400000,1.7100,1.6834,1.6935,1.6848,544.5975,919.0606,1.6876
1669291200000,1.6851,1.6848,1.6848,1.6849,424.7185,715.6153,1.6849
1669293000000,1.6860,1.6849,1.6851,1.6859,334.8544,564.2833,1.6851
1669294800000,1.6994,1.6618,1.6806,1.6807,299.0823,502.6951,1.6807
1669296600000,1.7181,1.6941,1.7141,1.6960,1024.1373,1749.6094,1.7084
1669298400000,1.6994,1.6865,1.6865,1.6958,811.4966,1376.0783,1.6957
1669300200000,1.6969,1.6939,1.6960,1.6969,735.2999,1247.0818,1.696
1669302000000,1.6969,1.6966,1.6969,1.6966,547.2444,928.5395,1.6967
1669303800000,1.7033,1.6966,1.6967,1.7029,1125.4375,1911.2198,1.6982
1669305600000,1.7031,1.7029,1.7029,1.7029,649.9957,1106.9365,1.7029
1669307400000,1.7033,1.6941,1.7031,1.7026,302.0949,514.3377,1.7025
1669309200000,1.7180,1.7023,1.7024,1.7026,542.8012,924.3708,1.7029
1669311000000,1.7059,1.7024,1.7026,1.7057,473.1186,805.9434,1.7034
1669312800000,1.7059,1.7056,1.7057,1.7056,676.1357,1153.2968,1.7057
1669314600000,1.7084,1.7008,1.7010,1.7026,599.2256,1019.6603,1.7016
1669316400000,1.7128,1.7074,1.7074,1.7128,721.0066,1233.324,1.7105
1669318200000,1.7101,1.7074,1.7101,1.7101,761.6652,1302.4362,1.7099
1669320000000,1.7128,1.7027,1.7128,1.7112,566.4746,966.8699,1.7068
1669321800000,1.7080,1.7078,1.7078,1.7078,613.6279,1048.0085,1.7078
1669323600000,1.7114,1.7112,1.7112,1.7112,698.6568,1195.6039,1.7112
1669325400000,1.7089,1.7087,1.7089,1.7087,590.3803,1008.8484,1.7088
1669327200000,1.7114,1.7112,1.7114,1.7114,863.4963,1477.7078,1.7113
